"Year"	"Country"	"ProdCode"	"ProdName"	"Spls."	"Pos."	"Pos%"	"Vio."	"Vio%"	"ResScope."	"Res."
"2023"	"Afghanistan"	"20A10"	"Raisins (Dried Grapes)  (Berry) "	2	1	50.00	0	0.00	805	1
"2023"	"Afghanistan"	"20B10"	"Raisins,  Dried or Paste "	4	2	50.00	0	0.00	805	3
"2023"	"Afghanistan"	"20B18"	"Mulberry, Dried or Paste "	2	0	0.00	0	0.00	805	0
"2023"	"Afghanistan"	"20B28"	"Currants, Red, Dried or Paste "	1	1	100.00	0	0.00	806	13
"2023"	"Afghanistan"	"21G09"	"Olives (Pit Fruit) "	1	0	0.00	0	0.00	788	0
"2023"	"Afghanistan"	"21G14"	"Plum (Pit Fruit) "	2	2	100.00	1	50.00	806	5
"2023"	"Afghanistan"	"21H01"	"Apricot, Dried or Paste "	5	0	0.00	0	0.00	810	0
"2023"	"Afghanistan"	"21H15"	"Prunes (Dried Plums), Dried or Paste "	1	1	100.00	0	0.00	788	1
"2023"	"Afghanistan"	"21H99"	"Pit Fruit, Dried or Paste, N.E.C. "	1	0	0.00	0	0.00	805	0
"2023"	"Afghanistan"	"23A01"	"Almond, In Shell "	4	0	0.00	0	0.00	810	0
"2023"	"Afghanistan"	"23A11"	"Pistachio, In Shell "	1	0	0.00	0	0.00	805	0
"2023"	"Afghanistan"	"23B01"	"Almond, Shelled "	1	0	0.00	0	0.00	805	0
"2023"	"Afghanistan"	"23B11"	"Pistachio, Shelled "	1	1	100.00	0	0.00	804	2
"2023"	"Afghanistan"	"23O20"	"Apricot Kernal, Nut Flour/Meal "	1	0	0.00	0	0.00	788	0
"2023"	"Afghanistan"	"23Y99"	"Nuts or Edible Seeds Not Mentioned Elsewhere, N.E.C. "	1	0	0.00	0	0.00	805	0
"2023"	"Afghanistan"	"24A06"	"Garbanzo Bean "	1	0	0.00	0	0.00	805	0
"2023"	"Albania"	"02E15"	"Wheat Flour, Plain "	1	0	0.00	0	0.00	805	0
"2023"	"Albania"	"20A07"	"Elderberries  (Berry) "	1	1	100.00	0	0.00	788	1
"2023"	"Albania"	"21G11"	"Olives, Green,  (Pit Fruit) "	1	0	0.00	0	0.00	805	0
"2023"	"Albania"	"26C04"	"Olive Oil, Refined, Single Ingredient "	1	0	0.00	0	0.00	805	0
"2023"	"Algeria"	"21G05"	"Dates (Pit Fruit),  (Pit Fruit) "	3	2	67.00	2	67.00	806	3
"2023"	"Algeria"	"21H05"	"Dates, Dried or Paste "	1	0	0.00	0	0.00	788	0
"2023"	"Algeria"	"24B06"	"Garbanzo Bean, Dried or Paste "	1	1	100.00	1	100.00	806	5
"2023"	"Algeria"	"26C04"	"Olive Oil, Refined, Single Ingredient "	1	0	0.00	0	0.00	805	0
"2023"	"Argentina"	"02B99"	"Corn, Milled Product N.E.C. "	1	1	100.00	0	0.00	806	1
"2023"	"Argentina"	"20A02"	"Blueberries  (Berry) "	1	0	0.00	0	0.00	805	0
"2023"	"Argentina"	"20A14"	"Strawberries  (Berry) "	2	2	100.00	0	0.00	810	4
"2023"	"Argentina"	"20G04"	"Lemon       (Citrus) "	11	11	100.00	0	0.00	806	10
"2023"	"Argentina"	"20N01"	"Apple   (Core Fruit) "	1	1	100.00	0	0.00	806	13
"2023"	"Argentina"	"20N03"	"Pear        (Core Fruit) "	4	4	100.00	0	0.00	811	12
"2023"	"Argentina"	"21H15"	"Prunes (Dried Plums), Dried or Paste "	1	0	0.00	0	0.00	805	0
"2023"	"Argentina"	"24A09"	"Mung Bean "	1	0	0.00	0	0.00	788	0
"2023"	"Argentina"	"24B07"	"Kidney Bean, Dried or paste "	3	2	67.00	0	0.00	806	4
"2023"	"Argentina"	"24T02"	"Asparagus (Leaf  AND  Stem Vegetable) "	1	0	0.00	0	0.00	805	0
"2023"	"Argentina"	"25J21"	"Garlic Bulb  (Root  AND  Tuber Vegetable) "	5	3	60.00	0	0.00	806	3
"2023"	"Argentina"	"70Y99"	"Animal Feeds, N.E.C. "	1	1	100.00	0	0.00	789	1
"2023"	"Armenia"	"02A99"	"Grain, Whole, N.E.C. "	1	0	0.00	0	0.00	805	0
"2023"	"Armenia"	"24A99"	"Beans, Corn, and Pea, N.E.C. (Vegetable) "	2	0	0.00	0	0.00	788	0
"2023"	"Australia"	"20G06"	"Orange      (Citrus) "	1	1	100.00	0	0.00	789	4
"2023"	"Australia"	"23B18"	"Macadamia, Shelled "	2	0	0.00	0	0.00	805	0
"2023"	"Australia"	"24A06"	"Garbanzo Bean "	1	1	100.00	0	0.00	788	1
