"Year"	"Country"	"ResName"	"Spls."	"Spls%"	"Res."	"Res%"	"Vio."	"Vio%"
"2023"	"Afghanistan"	"2,3,5,6-TETRACHLOROANILINE"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"2,4,5-T METHYL ESTER"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"2,4-D"	22	76.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"2,4-D METHYL ESTER"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"2,4-DB"	22	76.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"2,6-DICHLOROBENZAMIDE"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"2,6-DIPN"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"3-(HYDROXYMETHYLPHOSPHINYL) PROPANOIC ACID"	7	24.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"3,4-DICHLOROANILINE"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"4-CPA"	22	76.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ABAMECTIN"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ACEPHATE"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ACEQUINOCYL"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ACETAMIPRID"	29	100.00	1	3.40	0	0.00
"2023"	"Afghanistan"	"ACETOCHLOR"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ACIBENZOLAR-S-METHYL"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ACIFLUORFEN"	22	76.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ACIFLUORFEN METHYL ESTER"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ACLONIFEN"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ACRINATHRIN"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AKTON"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ALACHLOR"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ALDICARB"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ALDICARB SULFOXIDE"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ALDOXYCARB"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ALDRIN"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ALLETHRIN"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ALLIDOCHLOR"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMETOCTRADIN"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMETRYN"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMICARBAZONE"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMIDITHION"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMIDOFLUMET"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMINOCARB"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMINOPYRALID"	22	76.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMINOPYRIFEN"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMISULBROM"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"AMITRAZ"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ANCYMIDOL"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ANILAZINE"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ANILOFOS"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ARAMITE"	29	100.00	0	0.00	0	0.00
"2023"	"Afghanistan"	"ASPON"	29	100.00	0	0.00	0	0.00
